all_loss_gen,all_loss_disc,all_loss_gen_val,all_loss_disc_val
0.15165488,0.6938403,0.16304462,0.6988422
0.09604872,0.6931513,0.23236969,0.69550294
0.085400574,0.69254553,0.08125831,0.6936016
0.0659422,0.69274026,0.061243437,0.69307685
0.059889622,0.692617,0.06538237,0.69320285
0.05815035,0.6924783,0.042509146,0.6931016
0.051848248,0.6924351,0.03837505,0.69340676
0.04798029,0.6923978,0.044273224,0.69326013
0.05128267,0.69199765,0.04235861,0.69318014
0.041602097,0.6920213,0.04863171,0.6931808
0.038548347,0.691971,0.033648305,0.69316375
0.039372046,0.6919654,0.031800315,0.69317466
0.036652073,0.69175917,0.0525513,0.6931518
0.038000673,0.69180405,0.036257926,0.69312924
0.034066536,0.69173837,0.037554618,0.6931408
0.04354526,0.6920863,0.066881634,0.69321513
0.036118552,0.69210917,0.037877887,0.6931485
0.03178941,0.6918486,0.045483846,0.6931459
0.03192373,0.6921741,0.033087086,0.69314784
0.029582765,0.69236827,0.024226915,0.69314766
0.02955807,0.6924514,0.0289847,0.6931472
0.02861425,0.6922225,0.031602126,0.6931491
0.032099478,0.6922244,0.053561058,0.6931449
0.0308673,0.69234395,0.030416874,0.6931471
0.027983196,0.6919441,0.033462707,0.69314736
0.027463345,0.69235224,0.025749087,0.6931468
0.025815092,0.69247216,0.025340196,0.6931472
0.026006578,0.69188523,0.024470752,0.6931472
0.02628709,0.69273776,0.02306884,0.6931472
0.025554938,0.69276005,0.024788288,0.6931472
0.027349818,0.69198835,0.023515746,0.6931471
0.025139857,0.6918615,0.028686855,0.6931468
0.024823988,0.6925577,0.025121175,0.6931473
0.023518108,0.69218445,0.025748005,0.6931472
0.023491537,0.69218475,0.031142924,0.6931471
0.023465192,0.69214433,0.023183962,0.6931471
0.022637762,0.6920768,0.022456875,0.6931472
0.02194869,0.69205344,0.022061413,0.6931471
0.022311857,0.69196355,0.02658544,0.6931472
0.021928998,0.69204324,0.021396715,0.6931472
0.022008805,0.69186777,0.03005074,0.69314724
0.022040661,0.6918436,0.021029338,0.69314724
0.02095367,0.6920288,0.021129485,0.6931472
0.021488866,0.69159424,0.023892581,0.6931472
0.02053863,0.691587,0.02503374,0.6931472
0.02088105,0.6916669,0.026174463,0.6931472
0.020788802,0.692294,0.022103745,0.6931472
0.019962633,0.69178367,0.021843001,0.6931472
0.019994361,0.6915351,0.02102127,0.6931472
0.02050591,0.691676,0.020442748,0.6931472
0.019716885,0.691938,0.021901254,0.6931472
0.019679105,0.6918148,0.022651767,0.6931472
0.020157367,0.69163585,0.01935133,0.6931472
0.020612633,0.691787,0.022530038,0.6931472
0.021444462,0.69138324,0.019664515,0.6931472
0.019524751,0.6915353,0.038385555,0.6931472
0.01960224,0.6919116,0.020515839,0.6931472
0.01912509,0.69143283,0.020904943,0.6931472
0.018958645,0.6918871,0.021368854,0.6931472
0.018292122,0.69196165,0.021103077,0.6931472
0.018256912,0.69156665,0.019578964,0.6931472
0.018518291,0.69198436,0.024705578,0.6931472
0.018382328,0.69188446,0.019876925,0.6931472
0.017671473,0.69204533,0.01933875,0.6931472
0.017438212,0.69183314,0.05488001,0.6931472
0.01772829,0.69143564,0.018330678,0.6931472
0.017614108,0.69195724,0.020998515,0.6931472
0.017686032,0.69165766,0.03932119,0.6931472
0.017377721,0.6916373,0.017930469,0.6931472
0.017079564,0.6919244,0.019163076,0.6931472
0.01684527,0.6917438,0.021393621,0.6931472
0.017567566,0.6916566,0.01849303,0.6931472
0.017342186,0.6916429,0.024438333,0.6931472
0.01685996,0.69148606,0.017853638,0.6931472
0.016724948,0.6916576,0.020669613,0.6931472
0.01619506,0.6917141,0.017690232,0.6931472
0.016667452,0.6919272,0.020528613,0.6931472
0.016907133,0.6920783,0.020757195,0.6931472
0.016708272,0.69152224,0.018101104,0.6931472
0.016427409,0.6915041,0.018492546,0.6931472
0.016139109,0.6916831,0.018001655,0.6931472
0.016309422,0.6915849,0.017856095,0.6931472
0.016199445,0.69182324,0.020491244,0.6931472
0.016352478,0.6916031,0.018368268,0.6931472
0.016113164,0.69165426,0.017268943,0.6931472
0.016149167,0.6916658,0.019642623,0.6931472
0.01563326,0.69148326,0.017506784,0.6931472
0.016316643,0.69143355,0.01702949,0.6931472
0.016175589,0.69160736,0.017751237,0.6931472
0.015898617,0.6915775,0.016430145,0.6931472
0.016034795,0.69198173,0.018862702,0.6931472
0.015706182,0.6918528,0.019421544,0.6931472
0.015779134,0.691775,0.01894156,0.6931472
0.0153873395,0.6915604,0.017806428,0.6931472
0.015901776,0.6916848,0.018336775,0.6931472
0.01555468,0.6914349,0.030500587,0.6931472
0.015511159,0.69199264,0.024620349,0.6931472
0.015959738,0.691679,0.019465284,0.6931472
0.016010264,0.69094336,0.020885915,0.6931472
0.015334351,0.69128704,0.017353866,0.6931472
0.015364692,0.6914885,0.017357716,0.6931472
0.015592232,0.6910199,0.01893255,0.6931472
0.015552722,0.69187033,0.018325416,0.6931472
0.015906153,0.6913215,0.019793563,0.6931472
0.015411152,0.69168633,0.016511641,0.6931472
0.015458646,0.6919139,0.019372733,0.6931472
0.015597541,0.69159096,0.015822228,0.6931472
0.015328093,0.6917135,0.016799638,0.6931472
0.015767008,0.6919101,0.017452667,0.6931472
0.015041519,0.69196343,0.018110856,0.6931472
0.016052902,0.6921732,0.018645134,0.6931472
0.015273143,0.69191694,0.020256424,0.6931472
0.015146346,0.69266504,0.018379506,0.6931472
0.015263027,0.6919498,0.02106346,0.6931472
0.014945982,0.6925994,0.017227653,0.6931472
0.015252984,0.69205457,0.018204382,0.6931472
0.01838914,0.6918376,0.032888908,0.6931472
0.016224518,0.69118106,0.018836081,0.6931472
0.015345185,0.6912874,0.017391017,0.6931472
0.015787078,0.69208807,0.017010732,0.6931472
0.015211514,0.6919286,0.017420039,0.6931472
0.015309197,0.6928802,0.019051207,0.6931472
0.015458798,0.69263184,0.017474754,0.6931472
0.015462908,0.692334,0.016718933,0.6931472
0.015081635,0.6914398,0.017076707,0.6931472
0.015649278,0.6920963,0.017119225,0.6931472
0.0153218545,0.69152087,0.01873334,0.6931472
0.015312493,0.69216275,0.017909994,0.6931472
0.015170995,0.6920865,0.017964413,0.6931472
0.015205617,0.6913888,0.01975206,0.6931472
0.015091514,0.69235265,0.01760878,0.6931472
0.014793909,0.6921321,0.019767508,0.6931472
0.015220101,0.6918415,0.019395279,0.6931472
0.014997433,0.6914724,0.019210173,0.6931472
0.015270994,0.6919046,0.018566158,0.6931472
0.015403241,0.69189584,0.017708639,0.6931472
0.014905892,0.6922936,0.017870136,0.6931472
0.014911198,0.6922201,0.016538594,0.6931472
0.014955749,0.69192845,0.01750262,0.6931472
0.014957988,0.69254816,0.018067613,0.6931472
0.015302226,0.69216955,0.017280834,0.6931472
0.015141785,0.69156444,0.017372929,0.6931472
0.015004361,0.6921987,0.017500348,0.6931472
0.015070366,0.69200927,0.017248763,0.6931472
0.014690838,0.69213015,0.015574734,0.6931472
0.015142555,0.6919446,0.01868296,0.6931472
0.015210196,0.6921177,0.016455228,0.6931472
0.015202171,0.69170153,0.017438432,0.6931472
0.015151289,0.69217956,0.019844135,0.6931472
0.015097673,0.6925496,0.019585527,0.6931472
0.015015261,0.6916627,0.019641258,0.6931472
0.014916945,0.6919872,0.019094763,0.6931472
0.014910354,0.6924042,0.01756826,0.6931472
0.015141426,0.69235337,0.01698232,0.6931472
0.014861384,0.69221395,0.017167466,0.6931472
0.014492582,0.6922353,0.019924836,0.6931472
0.014951077,0.6922088,0.01833175,0.6931472
0.015206798,0.6923422,0.017235903,0.6931472
0.0151487095,0.69176537,0.018297933,0.6931472
0.014819778,0.6921835,0.017533828,0.6931472
0.015209456,0.6919717,0.016839609,0.6931472
0.014831747,0.691928,0.017406767,0.6931472
0.015186773,0.69214624,0.017853167,0.6931472
0.01471409,0.6922109,0.017860662,0.6931472
0.015087616,0.6920573,0.017946843,0.6931472
0.014538777,0.69194883,0.01853618,0.6931472
0.014868974,0.69187534,0.017534802,0.6931472
0.015097822,0.6924742,0.01865317,0.6931472
0.015870465,0.6926295,0.01774204,0.6931472
0.014651375,0.6924911,0.018058548,0.6931472
0.0151067665,0.6925519,0.018300276,0.6931472
0.014537592,0.6923064,0.017840238,0.6931472
0.014360967,0.6930004,0.01761659,0.6931472
0.01496071,0.69263554,0.020335127,0.6931472
0.014934921,0.6925914,0.017002769,0.6931472
0.014777174,0.69257027,0.018538758,0.6931472
0.014359931,0.69223666,0.01933575,0.6931472
0.014886564,0.6922091,0.024744652,0.6931472
0.01524809,0.69157004,0.01950334,0.6931472
0.0147624295,0.6923735,0.04761736,0.6931472
0.01487411,0.69202757,0.018030355,0.6931472
0.014944511,0.6926002,0.018631397,0.6931472
0.014691356,0.6925879,0.015555536,0.6931472
0.014382447,0.69169456,0.018237833,0.6931472
0.014881491,0.6924096,0.018841475,0.6931472
0.014987858,0.6925487,0.019534346,0.6931472
0.014923427,0.69198763,0.016361946,0.6931472
0.014734678,0.6920696,0.018375685,0.6931472
0.014548852,0.6927219,0.016832013,0.6931472
0.015482103,0.6918192,0.017732894,0.6931472
0.014549717,0.69194,0.019705052,0.6931472
0.014835807,0.6922656,0.016479151,0.6931472
0.014820187,0.69250554,0.01861608,0.6931472
0.014924717,0.69194704,0.017131753,0.6931472
0.014633659,0.69245297,0.018451419,0.6931472
0.014548074,0.6924037,0.017424205,0.6931472
0.014800595,0.6920303,0.026401702,0.6931472
0.014897296,0.6925488,0.017003367,0.6931472
0.014929693,0.69175994,0.015824046,0.6931472
0.014467595,0.69193834,0.017137885,0.6931472
